,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Audi,1.307,1.692,680,452,496,658,1.109,,,
BMW,196,159,176,243,276,869,937,,,
BYD,,,,,5,1,59,717,3.484,5.982
Chevrolet,,,,,53.466,48.045,72.615,104.650,96.135,94.410
Citroën,,,,2.359,1.544,15.596,23.530,10.699,9.580,4.073
FCA,43.264,69.111,69.535,107.534,,,,,,
Fiat,,,,,113.396,115.638,132.512,154.207,163.045,182.086
Ford,28.996,53.405,60.295,68.981,,,,,,3.712
General Motors,36.990,70.597,96.563,130.424,,,,,,
Honda,980,1.608,1.077,1.055,654,664,237,,,4.255
Hyundai,25.903,19.100,21.104,24.561,17.359,16.267,59.187,70.036,86.802,85.748
Jeep,,,,1.827,255,17.674,23.621,22.441,21.451,18.697
Mitsubishi,,,,,1.228,2.769,5.500,2.932,3.502,
Nissan,9.933,12.772,20.102,5.605,4.329,9.612,12.063,10.596,12.261,9.667
Peugeot,,,,576,1.193,9.887,19.493,11.427,3.062,
PSA,1.982,6.143,505,2.935,,,,,,
Renault,35.138,57.030,60.137,75.305,31.895,30.557,43.580,49.025,52.183,44.126
Toyota,9.041,12.696,11.000,13.812,7.057,13.896,18.626,15.487,23.889,12.897
Volkswagen,20.848,53.178,68.920,105.413,91.997,85.164,97.974,105.629,164.994,151.370
Outros,3.270,2.211,2.659,264,35.417,74.561,79.477,33.024,9.011,11.969
Total / Total,217.848,359.702,412.753,541.346,360.567,441.858,590.520,590.870,649.399,628.970
